Category:Australian_post-apocalyptic_films,The_Matrix|Furiosa_(film)|Until_the_End_of_the_World|Threads_(1984_film)|Mad_Max_(film)|Mad_Max_2|Mad_Max_Beyond_Thunderdome|Dead_End_Drive-In|Scorched_(2008_film)|Doom_Runners|Mad_Max:_Fury_Road|Beyond_Reason_(1970_film)|The_Rover_(2014_film)|I_Love_Sarah_Jane|Hard_Knuckle|Wyrmwood|Cargo_(2013_film)|Plague_(2014_film)|Cargo_(2017_film)|2067_(film)
Category:Australian_action_thriller_films,The_Matrix|Absolute_Deception|Resident_Evil:_The_Final_Chapter|Hotel_Mumbai|Firewall_(film)|Fair_Game_(1986_film)|Turkey_Shoot_(1982_film)|The_Man_from_Hong_Kong|Sanctum_(film)|Demonstone|Son_of_a_Gun_(film)|Predestination_(film)|Demolition_(1978_film)|Turkey_Shoot_(2014_film)|Upgrade_(film)|High_Ground_(2020_film)|Blacklight_(film)|The_Condemned
Category:Australian_neo-noir_films,The_Matrix|Dark_City_(1998_film)|The_Tender_Hook|Kiss_or_Kill_(1997_film)|The_Square_(2008_film)|Swerve_(film)|Kill_Me_Three_Times|Animal_Kingdom_(film)
Category:Films_about_computer_hacking,The_Matrix|Action_(2019_film)|The_Matrix_Reloaded|The_Matrix_Revolutions|The_Net_(1995_film)|Swordfish_(film)|Sneakers_(1992_film)|The_Bourne_Ultimatum_(film)|Blackhat_(film)|Hackers_(film)|Cyberbully_(2015_film)|23_(film)|Sarap_Mong_Patayin|The_Den_(2013_film)
Category:1999_science_fiction_films,The_Matrix|Roswell:_The_Aliens_Attack|Star_Wars:_Episode_I_–_The_Phantom_Menace|Wild_Wild_West|Dexter's_Laboratory:_Ego_Trip|Babylon_5:_A_Call_to_Arms|Bicentennial_Man_(film)|King_Cobra_(1999_film)|Alien_Cargo|Spectres_of_the_Spectrum|Pokémon:_The_Movie_2000|Godzilla_2000
Category:Terminator_(franchise)_films,The_Terminator|Terminator_3:_Rise_of_the_Machines|Terminator_Salvation|Terminator_2:_Judgment_Day|Terminator_Genisys|Terminator:_Dark_Fate
Category:Films_set_in_2029,The_Terminator|Sleeping_Dogs_(1997_film)|Tycus|Planet_of_the_Apes_(2001_film)|Terminator_2:_Judgment_Day|Logan_(film)|Terminator_Genisys|Oceanus:_Act_One|Ghost_in_the_Shell_(1995_film)|Illang:_The_Wolf_Brigade|Death_Becomes_Her
Category:1931_horror_films,Dr._Jekyll_and_Mr._Hyde_(1931_film)|Frankenstein_(1931_film)|Dracula_(1931_English-language_film)|Dracula_(1931_Spanish-language_film)|The_Mad_Genius|The_Drums_of_Jeopardy_(1931_film)
Category:American_historical_horror_films,Dr._Jekyll_and_Mr._Hyde_(1931_film)|Witchfinder_General_(film)|Crimson_Peak|Dr._Jekyll_and_Mr._Hyde_(1941_film)|The_Terror_(1963_film)|She-Wolf_of_London_(film)|Jesse_James_Meets_Frankenstein's_Daughter|The_Climax|The_Haunted_Palace|Corridors_of_Blood|The_Lost_Moment|The_Black_Room_(1935_film)|Tower_of_London_(1962_film)|The_Black_Castle|The_Strange_Door|The_Lodger_(1944_film)|The_Son_of_Dr._Jekyll|Mr._Sardonicus|Abraham_Lincoln:_Vampire_Hunter|Mohawk_(2017_film)
Category:Russian_fantasy_drama_films,Russian_Ark|The_Man_Who_Knew_Everything|Woland_(film)|The_Magical_Portrait|Window_to_Paris|The_Blue_Bird_(1976_film)|Mermaid_(2007_film)|Friend_(1987_film)|The_Scythian|The_Silver_Skates_(film)|The_North_Wind_(film)
Category:Russian_detective_films,Russian_Ark|Village_Detective|Major_Grom:_Plague_Doctor
